 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
1; 004;Afganistan;Afghanistan; ;
1; 008;Albanija;Albania; ;
1; 010;Antarktika;Antarctica; ;
1; 012;Alžirija;Algeria; ;
1; 016;Ameriška Samoa;American Samoa; ;
1; 020;Andora;Andorra; ;
1; 024;Angola;Angola; ;
1; 028;Antigva in Barbuda;Antigua and Barbuda; ;
1; 031;Azerbajdžan;Azerbaijan; ;
1; 032;Argentina;Argentina; ;
1; 036;Avstralija;Australia; ;
1; 040;Avstrija;Austria; ;
1; 044;Bahami;Bahamas; ;
1; 048;Bahrajn;Bahrain; ;
1; 050;Bangladeš;Bangladesh; ;
1; 051;Armenija;Armenia; ;
1; 052;Barbados;Barbados; ;
1; 056;Belgija;Belgium; ;
1; 060;Bermudi;Bermuda; ;
1; 064;Butan;Bhutan; ;
1; 068;Bolivija;Bolivia; ;
1; 070;Bosna in Hercegovina;Bosnia and Herzegovina; ;
1; 072;Bocvana;Botswana; ;
1; 074;Bouvetov otok;Bouvet Island; ;
1; 076;Brazilija;Brazil; ;
1; 084;Belize;Belize; ;
1; 086;Britansko ozemlje Indijskega oceana;British Indian Ocean Territory; ;
1; 090;Salomonovi otoki;Solomon Islands; ;
1; 092;Deviški otoki (britanski);Virgin Islands, British; ;
1; 096;Brunej, Država;Brunei Darussalam; ;
1; 100;Bolgarija;Bulgaria; ;
1; 104;Mjanmar;Myanmar; ;
1; 108;Burundi;Burundi; ;
1; 112;Belorusija;Belarus; ;
1; 116;Kambodža;Cambodia; ;
1; 120;Kamerun;Cameroon; ;
1; 124;Kanada;Canada; ;
1; 132;Zelenortski otoki;Cape Verde; ;
1; 136;Kajmanski otoki;Cayman Islands; ;
1; 140;Srednjeafriška republika;Central African Republic; ;
1; 144;Šrilanka;Sri Lanka; ;
1; 148;Èad;Chad; ;
1; 152;Èile;Chile; ;
1; 156;Kitajska;China; ;
1; 158;Tajvan, Provinca Kitajske;Taiwan, province of China; ;
1; 162;Božièni otok;Christmas Island; ;
1; 166;Kokosovi (Keeling) otoki;Cocos (Keeling) Islands; ;
1; 170;Kolumbija;Colombia; ;
1; 174;Komori;Comoros; ;
1; 175;Mayotte;Mayotte; ;
1; 178;Kongo;Congo; ;
1; 180;Kongo, Demokratièna republika;Congo, the Democratic Republic of the; ;
1; 184;Cookovi otoki;Cook Islands; ;
1; 188;Kostarika;Costa Rica; ;
1; 191;Hrvaška;Croatia; ;
1; 192;Kuba;Cuba; ;
1; 196;Ciper;Cyprus; ;
1; 203;Èeška republika;Czech Republic; ;
1; 204;Benin;Benin; ;
1; 208;Danska;Denmark; ;
1; 212;Dominika;Dominica; ;
1; 214;Dominikanska republika;Dominican Republic; ;
1; 218;Ekvador;Ecuador; ;
1; 222;Salvador;El Salvador; ;
1; 226;Ekvatorialna Gvineja;Equatorial Guinea; ;
1; 231;Etiopija;Ethiopia; ;
1; 232;Eritreja;Eritrea; ;
1; 233;Estonija;Estonia; ;
1; 234;Ferski otoki;Faroe Islands; ;
1; 238;Falklandski otoki (Malvini);Falkland Islands (Malvinas); ;
1; 239;Južna Georgia in otoki Južni Sandwich;South Georgia and the South Sandwich Islands; ;
1; 242;Fidži;Fiji; ;
1; 246;Finska;Finland; ;
1; 248;Alandski otoki;Aland Islands; ;
1; 250;Francija;France; ;
1; 254;Francoska Gvajana;French Guiana; ;
1; 258;Francoska Polinezija;French Polynesia; ;
1; 260;Francosko južno ozemlje;French Southern Territories; ;
1; 262;Džibuti;Djibouti; ;
1; 266;Gabon;Gabon; ;
1; 268;Gruzija;Georgia; ;
1; 270;Gambija;Gambia; ;
1; 275;Palestinsko ozemlje, zasedeno;Palestinian Territory, Occupied; ;
1; 276;Nemèija;Germany; ;
1; 288;Gana;Ghana; ;
1; 292;Gibraltar;Gibraltar; ;
1; 296;Kiribati;Kiribati; ;
1; 300;Grèija;Greece; ;
1; 304;Grenlandija;Greenland; ;
1; 308;Grenada;Grenada; ;
1; 312;Guadeloupe;Guadeloupe; ;
1; 316;Guam;Guam; ;
1; 320;Gvatemala;Guatemala; ;
1; 324;Gvineja;Guinea; ;
1; 328;Gvajana;Guyana; ;
1; 332;Haiti;Haiti; ;
1; 334;Heardov otok in McDonaldovi otoki;Heard Island and McDonald Islands; ;
1; 336;Sveti sedež (Vatikanska mestna država);Holy See (Vatican City State); ;
1; 340;Honduras;Honduras; ;
1; 344;Hongkong;Hong Kong; ;
1; 348;Madžarska;Hungary; ;
1; 352;Islandija;Iceland; ;
1; 356;Indija;India; ;
1; 360;Indonezija;Indonesia; ;
1; 364;Iran (Islamska republika);Iran, Islamic Republic of; ;
1; 368;Irak;Iraq; ;
1; 372;Irska;Ireland; ;
1; 376;Izrael;Israel; ;
1; 380;Italija;Italy; ;
1; 384;Slonokošèena obala;Cote D'Ivoire; ;
1; 388;Jamajka;Jamaica; ;
1; 392;Japonska;Japan; ;
1; 398;Kazahstan;Kazakhstan; ;
1; 400;Jordanija;Jordan; ;
1; 404;Kenija;Kenya; ;
1; 408;Koreja, Demokratièna ljudska republika;Korea, Democratic People's Republic of; ;
1; 410;Koreja, Republika;Korea, Republic of; ;
1; 414;Kuvajt;Kuwait; ;
1; 417;Kirgizistan;Kyrgyzstan; ;
1; 418;Laoška ljudska demokratièna republika;Lao People's Democratic Republic; ;
1; 422;Libanon;Lebanon; ;
1; 426;Lesoto;Lesotho; ;
1; 428;Latvija;Latvia; ;
1; 430;Liberija;Liberia; ;
1; 434;Libijska arabska džamahirija;Libyan Arab Jamahiriya; ;
1; 438;Lihtenštajn;Liechtenstein; ;
1; 440;Litva;Lithuania; ;
1; 442;Luksemburg;Luxembourg; ;
1; 446;Macau;Macao; ;
1; 450;Madagaskar;Madagascar; ;
1; 454;Malavi;Malawi; ;
